"T","Po","Pa","U","Ff","N","Nh","VV","Td","tR","RRR"
"11.2","565.1","0.9","99","1","0.95","0.4","15","11","24","1"
"13.4","564.6","1.2","82","1","1","0.4","15","10.4","6","0"
"15.4","563.4","-0.8","74","5","1","0.4","15","10.8","3","0"
"11","565.5","0.7","91","3","0.6","0.25","15","9.6","24","1"
"10.7","566.4","1.2","95","1","0.95","0.25","12","9.9","3","1"
"12.4","565.2","1.2","93","1","1","0.75","15","11.3","24","1"
"13.5","564.2","1.3","93","3","0.95","0.95","9","12.4","6","1"
"18.7","563.8","-1.9","70","2","0.6","0.5","12","13.1","6","0"
"13.3","565.3","1","88","1","0.95","0.5","10","11.4","24","1"
"14.3","563.7","0.5","87","1","0.5","0.25","10","12.2","6","1"
"11.9","563.4","-1.3","97","1","0.95","0.5","9","11.4","3","1"
"12.6","564.7","1.3","95","1","1","0.6","12","11.8","24","1"
"11.9","563.4","-0.8","97","1","0.95","0.5","9","11.4","3","1"
"12.3","564.2","-0.9","98","1","0.95","0.5","9","12","6","1"
"17.1","565.5","0.6","72","2","0.95","0.6","15","12","3","0"
"12.6","564.9","1.2","96","2","1","0.6","8","12","3","1"
"12.2","563.7","-1.1","97","1","1","0.4","10","11.7","3","1"
"13","565.1","0.9","84","1","1","0.5","10","10.4","3","0"
"13","565.1","0.9","84","2","1","0.5","10","10.4","3","0"
"12.5","566.1","1.2","92","2","0.75","0.4","9","11.2","24","0"
"13.4","564.6","0.9","89","2","0.95","0.25","15","11.6","6","0"
"15.1","563.7","-1.4","85","4","1","0.4","10","12.6","3","0"
"11.3","565.7","0.8","91","3","0.75","0.1","15","9.9","24","1"
"11.5","565.5","-0.9","94","3","0.95","0.25","14","10.6","6","1"
"11.7","566.4","1.7","97","1","1","0.5","7","11.2","3","1"
"12","564.8","0.8","97","2","0.75","0.25","8","11.5","24","1"
"12.2","564","-0.6","96","0","1","0.1","12","11.6","3","1"
"12.8","564.6","-0.7","97","1","0.95","0.6","5","12.3","6","1"
"15.5","562.9","-1.5","86","3","1","0.5","7","13.2","3","1"
"12.1","565.3","1.1","93","2","0.95","0.4","6","11","24","1"
"17.4","565.2","-1.8","67","2","1","0.5","15","11.2","6","1"
"14.9","567","1.3","77","2","1","0.25","15","10.9","3","1"
"11.6","565.7","0.8","91","2","1","0.1","15","10.2","24","1"
"11.2","564.9","-0.8","92","2","1","0.1","14","10","3","0"
"11.9","565.7","-0.6","91","3","1","0.4","10","10.5","6","1"
"12.8","566.3","1.5","96","1","1","0.25","7","12.2","3","1"
"12.4","564.8","1.6","98","1","1","0.4","8","12.1","6","1"
"11.8","565.7","0.9","98","2","0.95","0.1","16","11.5","24","1"
"12","564.6","0.8","93","1","0.95","0.75","10","10.9","6","1"
"13.4","563.8","-0.2","89","3","1","0.6","6","11.6","3","1"
"15.5","564","-1.7","85","6","1","0.4","4","13","6","1"
"11.6","565.3","1.1","98","1","1","0.4","5","11.3","24","1"
"11.5","565.5","1.2","97","1","1","0.5","8","11.1","3","1"
"13.6","564.3","1.4","91","1","1","0.6","10","12.2","6","1"
"14.6","562.9","-0.5","86","3","1","0.95","9","12.3","3","1"
"10.2","565.2","1.2","99","2","0.95","0.95","1.5","10.1","24","1"
"13.5","564.2","1.1","90","2","0.95","0.5","10","11.9","6","1"
